question,answer,keywords
错误对照码有哪些？,• 000：%s。 • 001：部署应用的名称或ID冲突，例如EJB应用的名字已被其它应用占用。 • 002：请检查实例或集群状态。 • 003：未找到所需要的文件或文件访问权限受限：%s。 • 004：启用JTA支持，要求驱动类型为XA类型，您也可以配置JTA事务允许非XA事务分支。 • 005：使用指定的驱动和URL无法连接到数据库。 • 006：指定的目录或文件没有创建成功。 • 007：PersistenceUnit需要JTA支持，但没有定义支持JTA的数据源。 • 008：数据库驱动类加载失败，请确保已经正确配置了数据库 JDBC 驱动包。 • 009：文件须是 *.zip 类型的。 • 010：服务器正在启动中或相关服务尚未就绪，请稍后重试。 • 011：无法加载 servlet 类：%s。 • 012：没有这样的方法，类型：%s，操作：%s。 • 013：数据源资源 (%s) 未找到且未成功自动创建。 • 014：请检查端口 [%s] 是否正确。 • 015：远程服务器[%s:%s]请求错误：%s。 请查看日志以获取详细信息。 • 016：配置文件[%s]没有找到。 • 017：尝试指定应用程序附带的 JSF 实现的使用。 • 018：无法正常识别应用类型，请检查要部署的应用文件是否合法。 • 019：部署的应用程序名称不支持包含特殊字符，例如#: %s。 • 020：找不到应用备份。 • 021：应用程序增量更新文件必须是 *.zip 类型。 • 022：不支持删除系统预置的通道：%s。 • 023：不支持停止系统预置的通道：%s。 • 024：不支持删除系统预置的虚拟主机。 • 026：SSH身份验证失败，请检查用户名、密码或密钥是否正确。 • 027：SSH获取执行结果超时，请检查执行状态或重试。 • 028：SSH获取执行发生未知异常，请查看日志详情。 • 029：安全域连接异常，请检查连接信息。 • 030：当前服务器正在运行中，不支持此操作，请停止后重试。 • 031：不支持构建的版本类型[ %s ]。 • 032：证书密码不正确。 • 033：不是一个有效的升级文件。 • 034：该版本正在被域 [ %s ] 使用，不可进行更新、删除等操作。 • 035：实例[%s]获取remotekey失败，请检查remotekey配置。 • 036：名称[%s]已被使用，如列表中没有，请检查节点的domains目录下是否已存在同名文件夹。 • 037：应用端口[%s]已被使用。 • 038：管理端口[%s]已被使用。 • 039：不支持。 • 040：请检查节点[%s]是否启动或管理端口[%s]是否配置正确。 • 041：未找到节点[%s]。 • 042：轻量模式下不支持部署 *.jar(ejb) *.ear *.rar 类型的应用，请选择 *.war 类型的应用文件。 • 043：文件权限不足:%s。 • 044：端口[%s]已被使用。 • 045：须是一个合法的目录。 • 046：无法创建符号链接，可能是因为缺少必要的权限。 • 047：该类型的版本已存在，无需再次生成。 • 048：已经存在相同名称的应用。 • 049：转换为TongWeb应用时发生异常，应用部署失败。 • 050：类 %s 未找到。 • 051：公钥参数错误。 • 052：admin 通道重启中，请稍后再试。 • 053：Redis身份验证失败，请检查用户名、密码是否正确。 • 054：Redis连接异常，请检查redis服务是否启动或者网络是否能够连接。 • 055：OSGi 服务异常。 • 056：OSGi 服务未启动。 • 057：文件须是 *.jar 类型的。 • 060：不被信任的文件：%s。 • 061：连接注册中心失败，原因：%s,错误对照码
TongWeb自身安全配置项影响应用使用吗,TongWeb自身安全配置项，基本不影响应用，为建议配置项,"TongWeb安全加固, TongWeb自身安全配置项"
TongWeb自身安全配置项有哪些？,01. 以普通用户安装TongWeb。 02. TongWeb使用端口及防火墙开通策略。 03. 可选择性的关闭TongWeb控制台。 04. 开启动态密码。 05. 修改TongWeb默认密码。 06. 设置信任IP。 07. 开启访问日志。 08. 控制台禁止远程文件上传,"TongWeb安全加固, TongWeb自身安全配置项"
TongWeb以什么用户进行安装？,在Linux操作系统以普通用户安装并运行TongWeb，避免采用root用户导致TongWeb权限过大。  若项目需要使用80端口，仍需root用户,"TongWeb安全加固, TongWeb自身安全配置项, 普通用户, root用户"
TongWeb使用到的端口有哪些？,服务程序 功能 默认端口 端口作用 TongWeb 提供服务的核心进程 8088 默认应用访问端口 9060 默认控制台端口 7200 JMX端口，默认关闭 5200 EJB w3远程端口，默认关闭 TongWeb MQ 消息服务器 7676 JMS服务端口 TongDataGrid 内存会话服务器 5701 session复制端口,"TongWeb安全加固, 端口"
TongWeb防火墙开通策略是什么,防火墙设置基本原则：对外用户访问只暴露应用访问端口，其它端口为TongWeb内部进程通信端口，只需对 内放开，切勿对外暴露。 禁止在互联网暴露9060/console控制台，会被当做攻击对象。,"TongWeb安全加固, TongWeb自身安全配置项, 防火墙开通策略"
如果不常用TongWeb控制台建议关闭吗?TongWeb有安全问题吗？,"TongWeb控制台为常被攻击的对象，在不常使用TongWeb控制台维护的情况下，可关闭控制台。 将“${tongweb.home}/conf/tongweb.xml”中的 http-listener 端口状态设为“stopped”即关闭控制台。 <http-listener name=""system-http-listener"" port=""9060"" status=""stopped""/> 影响范围：这期间无法使用TongWeb控制台。","TongWeb安全加固, TongWeb自身安全配置项, 关闭控制台关闭"
TongWeb什么时候需要开启动态密码？,因 TongWeb 一般安装在内网，邮件认证不便，可通过动态密码方式开启动态密码，该扫码方式无需 TongWeb 联网，具体操作见《TongWeb_V8.0控制台使用手册》。 影响范围：登录TongWeb控制台需要手机扫码登录,"TongWeb安全加固, TongWeb自身安全配置项, 开启动态密码"
TongWeb首次登录需要修改默认密码吗？需要注意什么？,首次登录TongWeb控制台需修改密码。 除修改thanos密码外，另外三个用户security、auditor、monitor也需要修改默认密码。 影响范围：因修改控制台密码后可能会忘记密码造成不便，所以请妥善保管密码。,"TongWeb安全加固, TongWeb自身安全配置项, 首次登录, 修改默认密码"
如何让某些ip才能访问控制台？如何设置信任ip？,限制访问控制的客户端IP可进行如下设置，切忌设置为 *。 集中管理——>安全配置——>控制台安全——>基本属性——>信任ip，根据要求设置即可。 指定信任的客户端 IP 地址，其值可为具体的 IP、匹配 IP 的正则表达式或通配符 IP（如：168.1.2.*，168.1.4.5-168.1.4.99）。远程的客户端只有在被设置为信任后，才可进行首次默认密码更改、文件上传等敏感操作。注：不设置表示只有 TongWeb 的安装机器受信任，设置为 * 表示信任所有机器（不建议）。 影响范围：TongWeb控制台只允许指定的客户端IP访问。,"TongWeb安全加固, TongWeb自身安全配置项, 信任ip, 指定的客户端ip"
TongWeb受到客户端攻击时，如何知道客户端来源？,访问日志默认没有开启，开启访问日志需登录控制台，在日志管理中开启访问日志配置。 影响范围：无，在遭受客户端攻击时，可通过访问日志分析客户端来源,"TongWeb安全加固, TongWeb自身安全配置项, 客户端来源"
控制台禁止远程文件上传的好处与影响？,禁用文件上传可以在很大程度上保护系统的安全，禁用后，攻击者将不能再通过 TongWeb 控制台来进行部署木马应用、上传恶意程序等操作。禁用文件上传后，您仍然可以选择服务器上已有的文件来进行相关操作。注：出于安全考虑，建议保持禁用文件上传功能。 影响范围：无法通过控制台上传应用包。,"TongWeb安全加固, TongWeb自身安全配置项, 禁止远程文件上传"
应用相关安全配置项会有哪些影响？,应用相关安全配置项，从安全角度需要开启，但开启后可能会影响到应用正常使用，请酌情考虑。,"TongWeb安全加固, 应用相关安全配置项"
应用相关安全配置项有哪些？,01. 会话与Cookie。 02. 应用安全配置项。 03. 全局安全策略。 04. SSL配置相关,"TongWeb安全加固, 应用相关安全配置项"
全局安全策略文件防篡改对应参数及说明？,"控制台界面：安全策略——>文件防篡改 属性及属性说明，如下表所示。 持久化位置：conf/tongweb.xml:tongweb>server>security configProtection ：服务器主配置文件防篡改 开启后，禁止在 TongWeb 运行期间对主配置文件tongweb.xml、console.xml、default-web.xml 等进行修改。若被意外篡改，则自动进行恢复。 fileProtectionPattern：应用防篡改文件后缀 指定应用的防止篡改的文件的后缀。在应用部署后，对应用的所有原始文件进行周期性（由服务器“全局配置”>“定时任务周期”指定）的检测。当发现文件被篡改后，尝试恢复到原文件。配置防篡改文件后缀，表示开启该功能；不配置，则不开启。防篡改文件后缀格式为 .html, .png, .jpg等，多个后缀以英文逗号分隔。注意：同时开启热加载和防篡改功能，可能存在冲突，建议不要同时开启。","TongWeb安全加固, 应用相关安全配置项, 全局安全策略, 文件防篡改"
如何针对客户端的主机名拦截访问呢？,控制台界面：安全策略——>客户端拦截——>客户端主机名拦截（开启） 属性及属性说明，如下表所示。 持久化位置：conf/tongweb.xml:tongweb>server>security filterRemoteHost：客户端主机名拦截 出于安全等考虑，拦截特定主机名的客户端请求，请求被拦截后将得到 403 响应码。注：本机访问不受限制。 allowHost：允许的主机名 指定允许的主机名，其值可为具体的主机名称或匹配主机 名称的正则表达式。注：需要通道允许 DNS 反向查找。 denyHost：拒绝的主机名 指定拒绝的主机名，其值可为具体的主机名称或匹配主机 名称的正则表达式。注：需要通道允许 DNS 反向查找， 拒绝的主机名拦截优先于允许的主机名,"TongWeb安全加固, 应用相关安全配置项, 全局安全策略, 客户端拦截, 主机名拦截, 允许的主机名, 拒绝的主机名"
如何针对客户端IP拦截访问呢？,控制台界面：安全策略——>客户端拦截——>客户端 IP 拦截（开启） 属性及属性说明，如下表所示。 持久化位置：conf/tongweb.xml:tongweb>server>security filterRemoteAddr：客户端 IP 拦截 出于安全等考虑，拦截特定 IP 的客户端请求，请求被拦截后将得到 403 响应码。注：本机访问不受限制。 allowAddr：允许的 IP 指定允许的 IP，其值可为具体的 IP、匹配 IP 的正则表达 式或通配符 IP（如：168.1.2.*，168.1.4.5-168.1.4.99）。 denyAddr ：拒绝的IP 指定拒绝的IP，其值可为具体的 IP、匹配 IP 的正则表达式或通配符 IP（如：168.1.2.*，168.1.4.5-168.1.4.99）。注：拒绝的 IP 拦截优先于允许的 IP。,"TongWeb安全加固, 应用相关安全配置项, 全局安全策略, 客户端拦截, 客户端IP拦截, 允许的IP, 拒绝的IP"
如何防止客户端的SDOS攻击呢？,控制台界面：安全策略——>客户端拦截——>SDOS 攻击拦截（开启） 属性及属性说明，如下表所示。 持久化位置：conf/tongweb.xml:tongweb>server>security denySdos：SDOS 攻击拦截 检测并拦截 SDOS 攻击。 sdosTimeThreshold：SDOS 探测阈值（秒） 当一个请求的处理时间超过此 SDOS 探测阈值时，则将该请求判定为 SDOS 攻击。 sdosCountThreshold：SDOS 次数阈值 当一个客户端（通常是浏览器）发出的请求被判定为SDOS 攻击的次数超过此 SDOS 次数阈值，则阻止该客户端 IP 地址的一切请求。 sdosUnblockPeriod：解除阻止周期（小时） 被阻止的客户端 IP 将在一个周期后自动解。,"TongWeb安全加固, 应用相关安全配置项, 全局安全策略, 客户端拦截, SDOS, 攻击拦截"
协议头安全是怎样从Host Header证安全的？,控制台界面：安全策略——>协议头安全——>Host Header 拦截（开启） 属性及属性说明，如下表所示。 持久化位置：conf/tongweb.xml:tongweb>server>security hostHeaderFilter Host：Header 拦截 开启 Host Header 拦截后，将会从请求头“Host”中解析主机名和 IP 地址，只有符合规则的请求才可以访问本主机。注：本机访问不受限制。 allowHostHeader：允许的 Host 支持正则表达式，依照此规则对 Host 中的主机进行校验，如192.168.1.([0-9]*):9060|www.tw.com；未设置此规则，表示不进行该校验。注：“允许的 Host”校验的优先级低于“拒绝的 Host”。 denyHostHeader：拒绝的 Host 支持正则表达式，依照此规则对 Host 中的主机进行校验，如192.168.1.([0-9]*):9060；未设置此规则，表示不进行该校验。注：“允许的 Host”校验的优先级低于“拒绝的Host”。,"TongWeb安全加固, 应用相关安全配置项, 全局安全策略, 协议头安全, Host, Header拦截"
协议头安全是怎样从referer拦截保证安全的？,控制台界面：安全策略——>协议头安全——>referer拦截（开启） 属性及属性说明，如下表所示。 持久化位置：conf/tongweb.xml:tongweb>server>security refererFilter：referer 拦截 开启 referer 拦截后，将会从请求头“referer”中解析主机名和IP地址。只有符合规则的请求才可以访问本主机。注：本机访问不受限制。 allowReferer：允许的 referer 指定允许访问本主机的域名或者 IP，支持正则表达式。依 照此规则对 referer 中的主机进行校验。未设置此规则，表示不进行该校验。注：“允许的 referer”校验的优先级低于“拒绝的 referer”。 denyReferer ：拒绝的 referer 指定不允许访问本主机的域名或者 IP，支持正则表达式。依照此规则对 referer 中的主机进行校验。未设置此规则，表示不进行该校验。注：“允许的 referer”校验的优先级低于“拒绝的 referer”。,"TongWeb安全加固, 应用相关安全配置项, 全局安全策略, 协议头安全, referer拦截"
协议头安全是怎样通过响应头防护保证安全的？,控制台界面：安全策略——>协议头安全——>响应头防护（开启） 属性及属性说明，如下表所示。 持久化位置：conf/tongweb.xml:tongweb>server>security responseHeader：响应头防护 可对响应头添加特定的消息，以通知浏览器进行必要的安 全操作。 antiClickJackingEnabled：X-Frame-Options 站点可以通过确保网站没有被嵌入到别人的站点里面，从 而避免 点击劫持攻击。 antiClickJackingOption：X-Frame策略 DENY：页面不允许在frame中展示；SAMEORLGIN：页面可以在相同域名页面的frame中展示；ALLOW-FROM：页面可以在指定来源的 frame 中展示。 antiClickJackingUri： 指定来源 页面可以在指定来源的 frame 中展示，示例:http://ip:port 或者 http://ip:*。注：若是多个地址，需要使用空格隔开。 hstsEnabled：Strict-Transport Security 通知浏览器，网站禁止使用 HTTP 方式加载，浏览器应该自动把所有尝试使用 HTTP 的请求自动替换为 HTTPS 请求。 blockContentTypeSniffingEnabled：X-Content-Type Options 禁止浏览器的类型猜测行为。 xssProtectionEnabled：X-XSS-Protection 当检测到跨站脚本攻击 (XSS)时，浏览器将停止加载页面,"TongWeb安全加固, 应用相关安全配置项, 全局安全策略, 协议头安全, 响应头防护"
应用如何反爬虫？,控制台界面：安全策略——>反爬虫（开启） 属性及属性说明，如下表所示。 持久化位置：conf/tongweb.xml:tongweb>server>security enableCrawlerSessionManager：反爬虫管理 Web 爬虫在爬取站点时会触发数千个会话的创建，这可能会导致大量内存消耗。此功能确保爬虫与单个会话相关联- 就像普通用户一样 - 无论他们是否在请求中提供会话令牌。 sessionInactiveInterval：爬虫会话超时时间 指定爬虫会话的会话超时（单位：秒），通常应小于用户会话时间。 crawlerIps：识别爬虫 IP 设置匹配 IP 的正则表达式或通配符 IP（如：168.1.2.*，168.1.4.5-168.1.4.99）来识别爬虫会。 crawlerUserAgents：识别爬虫 User-Agent 设置匹配 User-Agent 的正则表达式来识别爬虫。,"TongWeb安全加固, 应用相关安全配置项, 全局安全策略, 反爬虫"
SSL相关漏洞问题及解决方法？,"SSL相关漏洞和问题如下：。 1. CVE-2015-2808： SSL/TLS 受诫礼(BAR-MITZVAH)攻击漏洞。 2. CVE-2014-3566： SSLv3在降级的旧版加密漏洞（POODLE）。 3. CVE-2016-0800： SSL DROWN攻击漏洞。 4. CVE-2016-0800： SSL DROWN攻击漏洞。 5. SSL证书非正式可信证书等。 解决以上漏洞和问题的方法： 第一步：制作证书由用户方提供。 1. 用户制作证书请求时需使用OpenSSL最新版本，老版本OpenSSL有安全漏洞。 2. 制作的证书密码位数要符合安全要求。 3. 如果是在THS、Apache、nginx上配的SSL，则在THS、Apache、nginx上解决漏洞。 第二步：在TongWeb上配置SSL证书。 1. 勾选相应TLS协议。 2. 在“启用密码套件”中配置安全的算法，比如以下算法： TLS_ECDHE_RSA_WITAES_128_CBC_SHA256,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,TLS_ECDHE _RSA_WITH_AES_256_CBC_SHA384,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,TLS_RSA_WITH_AES_ 128_CBC_SHA256,TLS_RSA_WITH_AES_128_CBC_SHA。 3. 在TongWeb使用的JDK中“jre\lib\security\java.security”配置禁用不安全的SSL协议和算法，如下： #JDK8 默认配置如下： jdk.tls.disabledAlgorithms=SSLv3, TLSv1, TLSv1.1, RC4, DES, MD5withRSA, \ DH keySize < 1024, EC keySize < 224, 3DES_EDE_CBC, anon, NULL, \ include jdk.disabled.namedCurves","TongWeb安全加固, SSL配置, SSl漏洞, 漏洞处理"
如何强制使用https访问应用？,控制台界面： Web容器——>通道——>安全 开启SSL（开启） HTTP重定向（开启）,"TongWeb安全加固, SSL配置, https访问"
如何防止应用受到XSS攻击？,应用——>安全 持久化位置：conf/tongweb.xml:tongweb>server>applications>app XSSFilterEnabled：XSS 攻击拦截 拦截可疑的 XSS 攻击请求，通常是含有 script、<、> 等特殊标记的请求，以 403 响应码返回到客户端。,"TongWeb安全加固, 应用相关安全配置项, XSS攻击"
REST API 是什么？,REST 接口是基于 HTTP 协议的 REST 风格的管理接口，返回的数据为 json 格式，可便于外部模块或系统调用，适用于系统集成等方面。,"REST, API"
怎么获取REST代码示例？,TongWeb8标准产品包中包含关于生成 REST 代码示例，请参见 “${tongweb.home}\version*\examples\examples.war” 的“JMX & REST Examples”示例,"REST, API, 代码示例"
REST接口规范是什么？,REST 接口的 URL 请求格式： https://localhost:9060/console/rest/json/{模块名}/{操作名}/{可选ID} 参数说明，如下所示。 • localhost:9060 根据需要修改为实际使用的 TongWeb 的 IP 和端口。 • {模块名}/{操作名} 针对具体模块执行的操作，模块和操作的列表详见支持的 model、action。 • {可选ID} 可选，模块（model）支持的参数 name 对应的值。 例如：查看应用备份，name 值为应用备份的名称，以 “examples.BackupFlag20221208122655” 为例 说明。 https://localhost:9060/console/rest/json/appbackup/show/examples.BackupFlag20221208122655,"REST, API, 请求格式, 参数说明"
REST接口的认证方式有哪些？,REST 接口是被安全机制保护的，需使用系统用户名和密码认证，认证方式有两种，分别是 ”登录认证“ 和 ” 免登录认证“。 若 console 开启了 CSRF 防护功能（默认是开启的），则需要同时基于 CSRF 令牌来使用。,"REST, API, 登录认证, 免登录认证, CSRF防护"
开启CSRF防护时REST接口怎么进行登录认证？,访问：https://localhost:9060/console/j_login?j_username=monitor&j_password=password& acceptAgreement=true。 • j_username：登录 TongWeb 的用户名。 • j_password：登录 TongWeb 的密码。 • acceptAgreement：许可证协议。 从响应头 “csrf.token” 中获取令牌后，在后续REST接口操作中携带此令牌 通过请求头附带获取的令牌。 https://localhost:9060/console/rest/json/server/monitor? csrf.token=DE08346846E11935B6B9F7F84117BA26,"REST, API, 登录认证, csrf.token, JSESSIONID, Cookie"
未开启CSRF防护时REST接口怎么进行登录认证？,访问：https://localhost:9060/console/j_login?j_username=monitor&j_password=password& acceptAgreement=true。 • j_username：登录 TongWeb 的用户名。 • j_password：登录 TongWeb 的密码。 • acceptAgreement：许可证协议。 认证通过（响应头为 Location=/console/rest/html/home/index）后，服务器以 Cookie 返回 JSESSIONID，随后的请求携带此 Cookie 即可正常使用 REST 接口。,"REST, API, 登录认证, csrf.token, JSESSIONID, Cookie"
REST接口怎么进行免登录认证？,每次访问具体的 REST 接口时，将参数 j_username 和 j_password 以 GET 请求参数的形式放置在 url 中，即 可通过验证并正常使用接口。 REST 接口的 URL 请求格式： https://localhost:9060/console/rest/json/{模块名}/{操作名}/{可选ID}?j_username=user& j_password=password&acceptAgreement=true 参数说明。 • j_username：登录 TongWeb 的用户名。 • j_password：登录 TongWeb 的密码。 • acceptAgreement：许可证协议。 用户名/密码说明。 • 当仅需要获取监控信息时，建议使用系统资源监视管理员账户（如 monitor/monitor123.com）；。 • 当需要执行相关操作时，才建议使用系统管理员账户（如 thanos/thanos123.com）； 为了确保系统安全，每个账户只允许登录一个会话。如果您已使用 thanos 账户登录了控制台，那么再次 使用该账户访问 REST 接口时，系统将自动中断您在控制台上的登录会话。,"REST, API, 用户说明, 免登录认证"
REST接口进行登录认证时，怎么保障密码的安全？,"通过 REST 接口，进行登录认证时，为了保证密码的安全性，建议使用加密后的密码。 TongWeb 提供了加密工具。 工具路径 ${tongweb.home}/version*/sysapp/console/WEB-INF/lib/tongweb-web-console-framework.jar 类方法 encryptWithPubKey 示例说明： 如 com.tongweb.sdk.util.TongWebUtils.encryptWithPubKey(password, transferKey)。 • password：登录 TongWeb 控制台的密码，如默认账号 monitor 的密码 “monitor123.com”。 • transferKey：进入 “集中管理” > “服务管理” > “集中配置”，在 “加密公钥” 文本框中，获取加密公钥。","REST, API, 密码加密, 加密工具, 加密公钥"
REST接口怎么注销令牌或者cookie？,使用完成后，需要及时注销会话。访问 https://localhost:9060/console/login.jsp?invalidate 接口（注意： 仍需携带上述的 Cookie 和 令牌），即可注销。 免登录认证，每次请求完成后会自动注销，无需手动操作,"REST, API, 注销, 令牌, 免登录认证"
REST接口错误码是什么意思？,• 001：部署应用的名称或ID冲突，例如EJB应用的名字已被其它应用占用。 • 002：请检查实例或集群状态。 • 003：未找到所需要的文件或文件访问权限受限：%s。 • 004：启用JTA支持，要求驱动类型为XA类型，您也可以配置JTA事务允许非XA事务分支。 • 005：使用指定的驱动和URL无法连接到数据库。 • 006：指定的目录或文件没有创建成功。 • 007：PersistenceUnit需要JTA支持，但没有定义支持JTA的数据源。 • 008：数据库驱动类加载失败，请确保已经正确配置了数据库 JDBC 驱动包。 • 009：文件须是 *.zip 类型的。 • 010：服务器正在启动中或相关服务尚未就绪，请稍后重试。 • 011：无法加载 servlet 类：%s。 • 012：没有这样的方法，类型：%s，操作：%s。 • 013：数据源资源 (%s) 未找到且未成功自动创建。 • 014：请检查端口 [%s] 是否正确。 • 015：远程服务器[%s:%s]请求错误：%s。 请查看日志以获取详细信息。 • 016：配置文件[%s]没有找到。 • 017：尝试指定应用程序附带的 JSF 实现的使用。 • 018：无法正常识别应用类型，请检查要部署的应用文件是否合法。 • 019：部署的应用程序名称不支持包含特殊字符，例如#: %s。 • 020：找不到应用备份。 • 021：应用程序增量更新文件必须是 *.zip 类型。 • 022：不支持删除系统预置的通道：%s。 • 023：不支持停止系统预置的通道：%s。 • 024：不支持删除系统预置的虚拟主机。 • 026：SSH身份验证失败，请检查用户名、密码或密钥是否正确。 • 027：SSH获取执行结果超时，请检查执行状态或重试。 • 028：SSH获取执行发生未知异常，请查看日志详情。 • 029：安全域连接异常，请检查连接信息。 • 030：当前服务器正在运行中，不支持此操作，请停止后重试。 • 031：不支持构建的版本类型[ %s ]。 • 032：证书密码不正确。 • 033：不是一个有效的升级文件。 • 034：该版本正在被域 [ %s ] 使用，不可进行更新、删除等操作。 • 035：实例[%s]获取remotekey失败，请检查remotekey配置。 • 036：名称[%s]已被使用，如列表中没有，请检查节点的domains目录下是否已存在同名文件夹。 • 037：应用端口[%s]已被使用。 • 038：管理端口[%s]已被使用。 • 039：不支持。 • 040：请检查节点[%s]是否启动或管理端口[%s]是否配置正确。 • 041：未找到节点[%s]。 • 042：轻量模式下不支持部署 *.jar(ejb) *.ear *.rar 类型的应用，请选择 *.war 类型的应用文件。 • 043：文件权限不足:%s。 • 044：端口[%s]已被使用。 • 045：须是一个合法的目录。 • 046：无法创建符号链接，可能是因为缺少必要的权限。 • 047：该类型的版本已存在，无需再次生成。 • 048：已经存在相同名称的应用。 • 049：转换为TongWeb应用时发生异常，应用部署失败。 • 050：类 %s 未找到。 • 051：公钥参数错误。 • 052：admin 通道重启中，请稍后再试。 • 053：Redis身份验证失败，请检查用户名、密码是否正确。 • 054：Redis连接异常，请检查redis服务是否启动或者网络是否能够连接。 • 055：OSGi 服务异常。 • 056：OSGi 服务未启动。 • 057：文件须是 *.jar 类型的。 • 060：不被信任的文件：%s。 • 061：连接注册中心失败，原因：%s,"REST, API, 错误对照表"
${tongweb.home}和${tongweb.base}分别代表什么,${tongweb.home}是指用户具体的TongWeb安装路径。 ${tongweb.base是指TongWeb实例运行路径。例如，默认实例运行路径 为“${tongweb.home}/domains/domain1”。,"安装, tongweb.home, tongweb.base"
TongWeb8可以安装到哪些平台环境上？,TongWeb8支持的平台环境如下： 操作系统：。 • Windows Microsoft Windows 系列。 • Linux RedHat 系列、Suse Linux 系列、麒麟操作系统、统信 uos 操作系统、中科方德 操作系统等。 • Mac OS Mac OS 系列 芯片： 支持国内主流的 ARM、X86、MIPS、LoongArch 芯片架构。 例如：华为鲲鹏(ARM)、飞腾(ARM)、海光(X86)、兆芯(X86)、龙 芯(MIPS/LoongArch)等。 数据库: 主流数据库：Oracle、MySQL5、MySQL8、Sybase。 15、dameng、Kingbase、Kingbase8、Oscar、HSQL、Sybase type 4 for Sybase。 11.x、jtds sybase、postgreSQL、SQLServer、Derby Client、Derby Embedded、IBM Type。 4、gbase8t、gbase8s、sr、db2、highgo、uxdb、GaussDB 100、InspurK_x0002_DB、linkoopdb、oceanbase、MogDB 等。,"安装, 操作系统, cpu, 数据库"
TongWeb8对内存和硬盘空间的要求是什么？,内存：不低于80MB 硬件空间：至少需要 1024MB 磁盘空间,"安装, java, 内存, 磁盘, 浏览器"
TongWeb8支持哪些版本的java环境？,JDK8-JDK21。 • 支持 Oracle JDK，但部分 Oracle JDK 版本商用收费，在生产使用时请注意商业 授权，或采用 Open JDK、Tong JDK。 • 启用国密认证，JDK 要求 JDK8-JDK11。 • 使用虚拟线程，JDK 要求 JDK21。 • 需要安装 JDK，不能仅安装 JRE。仅安装 JRE 会导致 TongWeb 部分功能不能使 用。 • Linux 下若使用 IBM JDK，则需要手动放置如下 jar 包到 “${tongweb.home}/lib/compatible” 目录，否则启动 TongWeb 失败。 ◦ JDK 8.0 bcprov-jdk15on-1.70.jar。 ◦ JDK 8.0+ bcprov-jdk18on-1.78.1.jar,"安装, java, 内存, 磁盘, 浏览器"
TongWeb8的推荐最低配置是什么？,推荐最低配置：4核CPU、4G内存、20G硬盘,"安装, java, 内存, 磁盘, 浏览器"
如何获取TongWeb8安装包？,已购买 TongWeb 产品，在TongWeb 产品光盘中提供 TongWeb 安装包。,"安装, 光盘"
如何获取TongWeb8的license？,安装 License 后，才能启动 TongWeb，可选择 “本地授权” 或者 “服务授权”。 • 本地授权：通过提供的 license.dat 文件进行本地授权。 • 服务授权：通过 License Server 服务进行远程服务授权。 类型 获取 license 描述 本地授权 license.dat 购买 TongWeb 产品后，TongWeb 产品光盘中提供 了 license.dat 授权认证文件。 服务授权 License Server 安装包 购买 TongWeb 产品后，发货的同时发 License Server 安装包。 关于如何搭建 License Server 服务，详见《License Server_V4.5安装部署手册》。 说明： TongWeb 支持轻量版、标准版、企业版、教学版及容器云版。 版本功能差异通过 license 进行控制，请获取指定版本的 license。,"安装, 本地授权, 服务授权, license"
如何安装TongWeb8？,完成安装包解压即完成 TongWeb 产品的安装。 支持在 Kubernetes（k8s）平台上通过 Operator 部署 TongWeb，详情请咨询东方通相关人员。 获取的安装包以 “TongWebx.x.x.x.tar.gz” 为例说明。 Windows 平台 将安装包拷贝到待安装 TongWeb 的目录，解压到的目录即为产品的安装目录。 Linux 平台。 1. 将安装包拷贝到待安装 TongWeb 的目录。 2. 执行如下命令，解压安装包，解压后的目录即为产品的安装目录。 tar -zxvf TongWebx.x.x.x.tar.gz,"安装, 安装目录, windows, linux"
怎么使用本地授权文件？,通过读取本地的 “license.dat” 文件的方式进行授权认证。 购买 TongWeb 产品后，在 TongWeb 产品光盘中提供有 license 文件。 将获取的 license.dat 文件复制到安装完成的 TongWeb 根目录下：${tongweb.home} 注意： License 将根据授权产品名称、授权版本、版本类型以及授权 IP 来判断与产品是否匹配,"安装, license.dat"
怎么使用License Server 服务授权？,"通过远程搭建的 License Server 服务进行远程授权。 支持 License Server 版本。 4.5.0.0 及以上版本。 前置条件。 • 已搭建 License Server 服务。 关于如何搭建 License Server 服务，请参见《License Server_V4.5安装部署指南》。 • 已获取 License Server 服务的 IP 地址和端口（默认端口 “8888”）。 • 已联系东方通相关人员获取 “license-client-4.5.x.x.jar” 文件，并存放到 “${tongweb.home}/lib/system” 目录或者 “${tongweb.base}/lib/system” 目录。 添加 Java 启动系统属性。 1. 进入 “${tongweb.home}/bin” 目录。 2. 打开 admin.[bat|sh] 脚本。 3. 在文件中，添加 Java 启动时的系统属性，如下所示。 # License Server IP地址和端口，配置格式为 [ip]:[port] # 多个IP地址使用英文逗号分隔，如 192.168.1.1:8888,192.168.1.2:8888 # 当使用https时，请务必配置为 “https://[ip]:[port]”。 -Dserver.tongweb.license.license-ips=License Server IP地址和端口 #License Server 公钥信息，需要从 License Server 控制台获取。 -Dserver.tongweb.license.publicKey=License Server 公钥信息","安装, license-client, 启动系统属性"
