关键字,问题描述,思考过程,答案
资源加载策略 (archiveIndexStrategy),对于包含大量外部类库（JAR包）的应用，如何通过 `archiveIndexStrategy` 优化启动速度和资源查找效率？,应用启动时需要扫描大量的类路径资源，如果索引策略效率低，会导致启动耗时极长。TongWeb 提供了基于布隆过滤器（Bloom Filter）的优化方案，可以在不加载全部文件的情况下快速判定资源是否存在，从而减少磁盘 I/O。,推荐将 `archiveIndexStrategy` 从默认的 `SIMPLE` 调优为 `BLOOM` 或 `PURGED`。`BLOOM` 模式会在应用启动时利用布隆过滤器优化索引查找，而 `PURGED` 则更进一步，允许在运行时清除不再需要的归档查找缓存。这种调优对于那些依赖包体积巨大、且在运行中频繁触发类加载或资源获取的复杂应用（如大型 ERP 系统）性能提升尤为显著。
请求头大小限制 (maxHttpHeaderSize),当业务涉及超长 Cookie 或复杂的 OAuth2 认证信息时，通道的 `maxHttpHeaderSize` 参数应如何调整？,如果请求头超过默认限制，服务器会直接报错 `Request header is too large`，导致业务中断。在追求高性能的同时，必须确保报文解析器能够容纳合法的业务数据，避免频繁的解析失败重试。,TongWeb 的默认值为 8192 字节（8KB）。在处理大型分布式系统或微服务网关时，若出现 PWC4662 错误或 400 响应码，应将此值手动调大数据源（如调至 16384 或更大）。该参数在 `tongweb.xml` 中配置，调优时需注意，若在控制台修改通道其他属性，该手工修改值可能会恢复原值，需在智能体逻辑中特别提醒用户。
连接寿命检查 (maxAge),在云原生或数据库负载均衡环境下，如何利用 `maxAge` 解决物理连接老化导致的偶发性性能抖动？,长时间存活的物理连接可能会因为云环境的静默超时（如云 SLB 的空闲连接清理）而失效，或者在数据库端产生内存碎片。传统的空闲检查（testWhileIdle）只能检查死活，而无法解决“老化”导致效率下降的问题。,设置数据源的 `maxAge` 为非零值，推荐范围为 30 分钟到 2 小时（如 3600000ms）。开启此项后，TongWeb 会周期性地销毁并重建超时的物理连接，确保连接池中的对象始终保持“年轻”状态，从而规避由于底层驱动或网络链路长期维持同一连接而累积的性能风险。
内存溢出自动转储 (HeapDumpOnOutOfMemoryError),如何配置 JVM 参数以确保在发生“假死”或 OOM 时，能自动保存现场以便后续进行精准性能分析？,性能调优不仅要看运行时的“快”，还要看故障后的“准”。如果发生 OOM 没能留下镜像，调优就成了盲人摸象。通过 JVM 的自动转储功能，可以实现故障现场的完整复现。,在 `jvmconfig` 中必须开启 `HeapDumpOnOutOfMemoryError=true`。同时，通过 `HeapDumpPath` 指定转储文件的存储路径，推荐配置为 `../logs/heap-dump.hprof`。这种配置在生产环境下至关重要，它能让运维人员利用 Memory Analyzer (MAT) 工具，在不影响服务恢复的前提下，事后通过分析堆快照定位导致内存占满的元凶（如缓存过大或集合类持续增长）。
日志保留策略 (keepMaxFiles),如何通过协同配置 `rotationBySize` 和 `keepMaxFiles` 优化磁盘 I/O 稳定性并防止日志爆满导致的停机？,如果单文件日志过大，检索和读写效率会大幅下降。如果文件总数不加控制，磁盘写满后，TongWeb 进程会因为无法写入日志而挂起。,推荐配置 `rotationBySize` 为 50 到 100（MB），同时设置 `keepMaxFiles` 为 100。这种组合能确保磁盘空间被循环利用，单个日志文件维持在便于分析的大小，从而避免因磁盘满导致的系统级阻塞，保证日志子系统的高效吞吐。
通道请求总数监视 (submittedCount),在排查系统响应慢时，监视项 `submittedCount` 和 `activeCount` 的差值对判断瓶颈所在有何指导意义？,性能监控不能只看 CPU。线程池内部的排队情况是判断并发能力的真实指标。通过比较这两个数值，可以判断系统是处理得慢，还是连接接进来的速度太快。,`activeCount` 反映的是正在执行业务逻辑的活跃线程数，而 `submittedCount` 则是活跃线程数与排队等待线程数的总和。当 `submittedCount` 远大于 `activeCount` 且 `waitingCount` 升高时，说明 Web 通道已达到最大承载能力，存在明显的排队阻塞，此时应考虑调大 `maxThreads` 或优化后端业务逻辑的执行时间。注：使用虚拟线程时，由于不限制线程池规模，该项监视值将永久显示为 -1。
轻量模式 (liteMode),在仅需 Web 容器能力的场景下（如简单静态页面或纯 Spring Boot 打包），开启 `liteMode` 如何提升整体性能？,TongWeb 作为全功能 Java EE 服务器，默认会启动 EJB 容器、JCA 资源、WebService 引擎等多个子系统，这些都会消耗初始内存和 CPU 预热时间。,在“全局配置”中开启 `liteMode=true`。此模式下，TongWeb 将屏蔽自带的 JPA、CDI、EJB、Mail 等企业级模块，仅启动核心的 Web 容器。对于不使用 Java EE 复杂技术的互联网应用，开启轻量模式可以显著降低 JVM 的元空间（Metaspace）占用，缩短启动时间，提高内存利用率。
心跳检测间隔 (validationInterval),为了在极致性能场景下减少连接验证对业务请求的侵入，如何优化数据源的 `validationInterval` ？,如果每次获取连接（testOnBorrow）都去校验物理连接的有效性，会增加一次网络往返损耗。通过设置间隔时间，可以在保证连接基本健康的前提下，大幅削减校验 SQL 的执行频次。,设置 `testOnBorrow=true` 或 `testWhileIdle=true` 的同时，必须配置 `validationInterval`（推荐设为 30000ms，即 30 秒）。这意味着在指定的间隔内，系统不会重复对同一个连接进行有效性验证，从而将校验操作对 TPS 的影响降至最低，在高频访问场景下可提升约 5%-10% 的连接周转效率。
ES 日志推送 (logpush),开启“ES 推送”功能时，如何配置以避免在日志服务器故障时拖累本地 TongWeb 的性能？,日志集中化是主流，但远程推送涉及网络 I/O。如果配置不当，当 ES 挂掉时，可能会导致本地线程因等待推送确认而阻塞。,开启 ES 推送后，日志除了本地存储外会异步推送到远端服务器。调优建议：务必确保 `enabled=true` 配置正确，并注意目前 TongWeb 不会对失败的日志进行补充推送。在搭建智能体时，应提醒用户在网络不稳或 ES 负载过高时，由于推送逻辑存在些许开销，若业务极其敏感，应首选 Syslog 协议推送或侧重于本地异步刷盘配置（enableAsynchronousLogging）以隔离风险。
元空间监控 (nonHeapUsed),为什么在使用大量 `PreparedStatement` 缓存时，必须重点关注监视项中的 `nonHeapUsed` ？,数据库连接池的语句缓存（Statement Cache）会在内存中保留大量的 SQL 元数据。由于这些元数据和反射对象往往存放在 JVM 的非堆（Metaspace）区域，过小的元空间限制会导致频繁的 Full GC。,通过 JVM 监视获取 `nonHeapUsed` 的实时数据。在使用 `enableStatementCache=true` 时，每个连接缓存的语句数（max 参数）会直接增加非堆内存的负担。如果观察到非堆内存持续接近 `MaxMetaspaceSize` 且 Full GC 频繁，应同步调大 JVM 的元空间参数，以支撑语句复用带来的性能增益，否则会因小失大导致系统假死。
零拷贝传输 (useSendfile),在部署包含大量图片、视频等静态资源的 Web 应用时，如何开启 `useSendfile` 实现极速文件传输？,传统的文件读取需要经过“内核态-用户态-内核态”的多重拷贝。Send File 技术（零拷贝）允许操作系统直接将磁盘数据发送到网卡，极大地降低了 CPU 的拷贝开销。,在通道配置中将 `useSendfile` 设置为 `true`。同时设置 `sendFileSize`（推荐 48KB 以上的文件才触发）。开启后，大文件将通过高效的操作系统内核接口直接发送给客户端。注意：开启此项后，该类文件将不再支持 HTTP 响应压缩功能，调优时需在“带宽占用”与“CPU 拷贝损耗”之间做权衡。
智能判定比例 (abandonWhenPercentageFull,为了防止在业务高峰期出现“误杀”正常长事务连接，如何精细化配置 `abandonWhenPercentageFull` ？,连接泄漏检查是双刃剑。如果单纯按时间（removeAbandonedTimeout）回收，可能会切断正常的耗时报表导出请求。通过引入池使用率比例，可以实现“只有在危急时刻才强制回收”。,配置 `removeAbandoned=true`，并将 `abandonWhenPercentageFull` 设置为 80 到 90 之间的值。这样，即使某个连接超过了 `removeAbandonedTimeout`（如 60 秒），只要当前连接池的整体使用率没达到 80%，TongWeb 也不会强制关闭它，从而最大限度地保护了极端高负载下正常业务的连续性。
开发模式开关 (jspDevelopment),为何在高性能生产环境中必须关闭应用的 `jspDevelopment` 属性？,开发模式下，服务器会周期性（约每 5 秒）扫描 JSP 文件的最后修改时间。这种频繁的磁盘轮询在高并发下会产生不必要的 I/O 竞争和 CPU 损耗。,必须确保生产环境 `jspDevelopment=false`。关闭后，JSP 仅在初次访问时编译并持久化在内存和磁盘 class 中，不再进行重复扫描。若需要更新应用，应采用“重部署”或通过脚本重启实例，而不是依靠开发模式的自动加载，以换取最高的运行效率。
可压缩类型定义 (compressibleMimeType),如何针对业务报文格式（如 application/json）定制通道压缩范围以优化移动端响应？,默认的压缩配置可能不包含 JSON 或 XML 等现代 API 格式。如果不手动添加这些类型，API 接口的大量数据传输就无法享受带宽节省带来的速度优势。,"将 `compression` 设为 `on`，并在 `compressibleMimeType` 中显式包含业务使用的所有 MIME 类型，如 `text/html,text/xml,application/json,application/javascript`。同时通过 `compressionMinSize`（建议 2048 字节）过滤掉过小的报文，防止压缩产生的 CPU 开销超过其带来的网络加速收益。"
GC 日志轮转 (UseGCLogFileRotation),在高频率 GC 调优期间，如何防止 GC 日志文件体积过大撑爆磁盘？,详细的 GC 日志包含大量时间戳和内存分布信息，积攒数天后体积可能达到数 GB。,在 `jvmconfig` 的启动参数中追加 `-XX:+UseGCLogFileRotation`，并配合 `-XX:NumberOfGCLogFiles=10` 和 `-XX:GCLogFileSize=10M`。这样 JVM 只会保留最近的 100MB GC 日志记录，既能满足性能回溯分析的需求，又能从根源上消除磁盘爆满带来的宕机隐患。
SQL 参数打印正则 (sqlForParamPrintRegex),在生产环境下，开启慢 SQL 监视时如何平衡“故障排查精准度”与“安全性”？,慢 SQL 日志通常只显示带问号的预编译语句。虽然开启参数记录（sqlForParamPrintRegex）能看清真实数值，但这会造成严重的性能下降和敏感数据（如密码、金额）泄露风险。,默认配置下 `sqlForParamPrintRegex` 为空，且官方出于安全和性能考虑不建议使用此功能。调优建议：除非在受控的性能压测环境中进行深度诊断，否则生产环境应保持此项为空，仅开启 `logSlow=true` 以记录 SQL 语句本身，以此在保障安全的前提下获取优化慢查询所需的关键线索。
异步请求超时 (asyncTimeout),在使用异步 Servlet（AsyncContext）处理长轮询或耗时推送业务时，如何优化通道的 `asyncTimeout` ？,异步处理旨在释放容器线程，但如果请求在等待后端异步结果时过早触发了通道超时，会导致客户端收到异常。,TongWeb 的默认异步超时时间为 30000 毫秒（30 秒）。对于预计执行时间超过 30 秒的任务（如复杂数据处理或 AI 推理接口），必须调大此阈值。需要注意的是，该全局配置可以被应用内部通过代码 `setTimeout()` 进行覆盖，因此调优时应与开发团队对齐业务场景的真实耗时需求。
周期性重载 (reloadable),为何在 TongWeb 的性能页签下，“资源缓存”和“热加载（reloadable）”不能同时高效共存？,这两个功能本质上是冲突的。缓存是为了减少 IO、提高响应，而 reloadable 是为了检测修改、销毁缓存并重新加载。,必须在生产环境确认 `reloadable=false`。根据官方补充说明，若开启了资源缓存，则 `reloadable` 功能将失效。为了极致性能，应开启 `cachingAllowed=true` 并将 `reloadable` 彻底关闭，以消除服务器周期性检查文件变动带来的开销。
日志加载行数控制 (pullLogLines),在大规模运维监控时，如何通过 `pullLogLines` 防止控制台日志页面拖慢应用实例？,当管理员从 Web 端查看实时日志时，服务器需要从磁盘读取数据并通过 HTTP 发送。如果单次拉取行数过大，会瞬间占用大量网络带宽和应用内存。,在系统日志配置中设置 `pullLogLines` 为较低值（默认 20 行）。该参数限制了浏览器每次从服务器拉取的最大行数。在高性能应用中，应严禁为了方便调试而将其调至上千，以防止因 Web 日志展示产生的辅助开销反客为主，挤占正常的业务处理资源。
初始连接数预热 (initialSize),针对“冷启动”响应慢的 Java 应用，如何利用 `initialSize` 配合 `minIdle` 消除启动初期的性能鸿沟？,应用启动后的前几个请求往往会面临连接建立的开销。通过预先建立好的一批热连接，可以直接跳过握手阶段。,推荐将 `initialSize` 设置为与 `minIdle` 相同的值（如 30）。这样在数据源初始化完成时，连接池已经根据配置同步创建好了物理连接。这种调优方式能确保应用在启动完毕正式对外提供服务的那一秒，就已经具备了处理并发流量的能力，消除了新连接创建带来的首秒访问卡顿。
长连接服务阈值 (maxKeepAliveRequests),在遭遇由于客户端恶意占用长连接导致连接池耗尽时，如何利用 `maxKeepAliveRequests` 进行防御性调优？,长连接虽然好，但如果一个连接被无限次使用，可能会导致负载不均衡或被慢速攻击（Slow HTTP Attack）利用。,默认值为 1000 次。在高性能环境下，建议维持在 1000 到 2000 次。该参数规定了单个长连接在被强制关闭前允许处理的最大请求数。到达阈值后，服务器会主动断开连接，强制客户端重新建立连接并可能被负载均衡器（如 THS）重新分配到其他节点，从而实现了某种程度上的动态负载再平衡和资源强制回收。
慢线程堆栈检测 (slowThreadEnabled),如何利用 TongWeb 自带的“慢线程检测”功能实现性能调优的“自动化取证”？,手动打 jstack 往往抓不到偶发的卡顿。通过中间件层面的实时监控，可以在线程阻塞达到阈值的一瞬间，自动捕获并记录完整的代码调用栈。,开启 `slowThreadEnabled=true`，并将 `threshold` 设置为业务红线值（如 1000ms 或 2000ms）。当线程处理请求时间超过此阈值，TongWeb 会在 `server.log` 中自动输出包含业务包名的详细线程堆栈信息。调优人员只需定期收集该日志样本，就能清晰看出业务阻塞是由于代码锁竞争、BeanUtils 拷贝性能差、还是外部接口调用超时引起的。
归还连接时回滚 (rollbackOnReturn),在高性能非分布式事务场景下，如何配置 `rollbackOnReturn` 确保连接池的安全与状态纯净？,应用执行完逻辑后，如果没有显式 commit 或 rollback，连接会带着未完成的事务状态回到池中。下一个使用者获取到该连接时，可能会引发极其诡异的数据一致性问题或事务锁死。,必须确保 `rollbackOnReturn=true`（默认开启）。该功能在“自动提交（defaultAutoCommit）”关闭时生效，它会在连接归还入池时自动执行一次回滚，清理掉任何残留的未决事务。这一调优步骤虽然有极微小的性能开销，但它是保障高并发下连接复用安全、防止脏数据干扰后续业务处理的核心防线。
启用访问日志 (accessLogEnabled),在生产环境下追求 TPS 峰值时，应如何配置“访问日志”以最小化其对磁盘 I/O 的占用？,访问日志记录了每一次 HTTP 请求的详情。在每秒上万次请求的场景下，同步记录访问日志会成为严重的性能累赘。,如果业务非必须，建议在追求极致性能时保持 `accessLogEnabled=false`。若必须审计，则应配套开启文件缓冲写入（buffered=true）并调大缓冲大小（bufferedSize=65536 字节）。这样通过批量落盘技术，可以显著减轻磁盘磁头的物理寻址压力，让 CPU 能更专注于处理业务报文解析。
Java Logger 接管 (takeoverJUL),在 TongWeb 系统日志配置中，`takeoverJUL` 选项对减少全局日志开销有何作用？,Java 默认自带一套日志系统（JUL）。TongWeb 内部也有一套高效的日志框架。如果不接管，两套系统同时运行会造成重复的字符串处理和对象创建。,推荐保持 `takeoverJUL=true`（默认开启）。开启后，TongWeb 将接管 Java 原生的 Logger 接口，统一调度日志输出路径和格式。这种调优能够通过合并日志管线，减少多套日志系统并存时的 CPU 上下文切换和内存缓冲占用，使整体的日志吞吐更加轻量化。
连接后进先出 (usingLIFOQueue),在数据库连接池压力均衡与应用性能响应之间，如何权衡是否开启 `usingLIFOQueue` 参数？,默认情况下连接池采用 FIFO（先进先出）。但在高性能场景下，LIFO（后进先出）意味着最近刚被归还、极大概率仍处于 CPU 缓存和数据库活跃会话中的“热连接”会被优先再次借出。这能减少物理连接的冷热切换开销，但缺点是会导致部分连接由于长期不被使用而老化。,在追求极致响应时间的互联网业务中，建议将 `usingLIFOQueue` 设置为 `true`。配合 `testWhileIdle=true` 进行后台心跳维护，可以确保“热连接”支撑高频业务，同时那些处于排队后端的“冷连接”能通过异步验证机制保持健康。这种调优方式能提升约 3%-5% 的 SQL 执行响应效率。
JTA 事务支持 (JtaManaged),当应用涉及跨库操作且必须保证分布式事务一致性时，数据源的 `JtaManaged` 应如何配置，有哪些限制？,JTA 事务由中间件容器统一协调。开启此项后，自动提交会被强制关闭，且驱动类型必须为 XA。由于 JTA 事务需要管理连接的生命周期，它与简单的“线程绑定（threadBinding）”机制在逻辑上是互斥的。,若应用需要应用于 EJB 事务或用户管理的 JTA 事务，必须配置 `JtaManaged=true`。**注意**：开启此项后，`threadBinding` 将不再受支持，且 `defaultAutoCommit` 会被系统强制设为 `false`。调优时需确保数据库驱动已更换为对应的 XA 驱动类，否则会报 0202 错误码。
HTTP/2.0 支持 (http2Enabled),开启 TongWeb 的 HTTP/2.0 协议支持需要满足哪些前置条件，对前端并发有何提升？,HTTP/2 通过多路复用（Multiplexing）解决了 HTTP/1.1 的线头阻塞问题。但其协议规范强制要求使用加密连接。,在通道配置中设置 `http2Enabled=true`。生效前置条件：1. 必须开启 SSL（`SSLEnabled=true`）；2. 推荐使用 `NIO2` 或 `NIO` 模式；3. 必须在 `external.vmoptions` 中确保相关的 ALPN 依赖库已加载。调优开启后，浏览器与服务器之间仅需建立一个 TCP 连接即可并行传输数十个资源，极大提升了含大量小图片/脚本的页面加载性能。
代理协议头解析 (X-Forwarded-For),当 TongWeb 部署在 Nginx 或 F5 负载均衡器后方时，如何配置参数以确保应用获取到真实的客户端 IP？,在代理环境下，`request.getRemoteAddr()` 默认获取的是代理服务器的 IP。为了获取真实 IP，必须解析负载均衡器透传的 `X-Forwarded-For` 头信息。,在 Web 容器配置中开启相关属性。1. 设置 `protocolHeader` 为 `X-Forwarded-Proto`；2. 设置 `remoteAddrHeader` 为 `X-Forwarded-For`。同时，必须在 `internalProxies` 中配置负载均衡器的 IP 地址（支持正则表达式），告知 TongWeb 信任这些代理发来的 IP 头信息。如果不配置信任 IP，TongWeb 出于安全考虑会忽略该头。
DNS 反向查找 (enableLookups),为何在高性能生产环境下，强烈建议将通道的 `enableLookups` 参数保持为 `false`？,若开启此项，每次记录日志或调用 `getRemoteHost()` 时，服务器都会尝试向 DNS 服务器发起反向查询以获取客户端域名。如果 DNS 响应慢，业务线程会发生严重的同步阻塞。,必须确保 `enableLookups=false`。在 TPS 较高的环境下，关闭 DNS 反向查找可以规避潜在的网络 I/O 阻塞，减少请求处理的平均时延。获取客户端身份应仅依赖 IP 地址，若应用确实需要域名，建议由应用层异步处理或在前端代理层解析。
慢攻击防御 (maxSwallowSize),如何利用 `maxSwallowSize` 配合 `maxPostSize` 防范针对 POST 请求的大数据恶意占用攻击？,如果恶意客户端发送超过限制的文件，服务器会尝试拒绝。但如果服务器不主动切断连接，而是继续“吞掉”后续数据，连接就会一直被占用。,将 `maxSwallowSize` 设置为合理的字节数（默认 2MB）。调优逻辑：若上传数据超过 `maxPostSize` 且超过此溢值，TongWeb 会在响应头中添加 `Connection:close` 并立即中断连接，而不是继续接收无效数据，从而保护通道线程不被此类慢速攻击（SDOS）长期非法挂起。
解析方法扩展 (parseBodyMethods),在 RESTful 架构中，如何配置 TongWeb 支持 PUT 或 DELETE 方法下的正文参数自动解析？,默认情况下，Java EE 容器仅对 POST 方法进行请求体参数解析。这会导致 RESTful 接口无法通过 `request.getParameter()` 获取 PUT 请求的正文数据。,"在通道配置中修改 `parseBodyMethods` 参数。推荐配置为 `POST,PUT,DELETE,PATCH`。调优开启后，服务器会将这些方法的请求体也视为 POST 进行正文解析，极大方便了采用 Spring MVC 等现代框架开发的微服务应用的参数获取逻辑。"
自定义访问日志 (customPattern),在复杂的业务审计场景下，如何自定义访问日志格式以记录响应延迟和具体的 Cookie 值？,默认的 Common 或 Combined 格式信息有限。调优监控需要知道每个请求的具体耗时（%D）和会话标识。,将 `customMode` 设置为 `true`。在 `customPattern` 中配置格式化字符串，例如：`%h %l %u %t "%r" %s %b %D "%{JSESSIONID}c"`。其中 `%D` 记录处理请求的微秒数，`%c` 记录特定 Cookie 值。这种详细的日志配置是生产环境进行“离线性能回溯”的最强工具。
启用模块日志级别 (enabledModuleLogLevel),如何实现在不改变全局日志级别的情况下，单独开启数据源模块的 DEBUG 日志以排查性能连接问题？,将全局调为 DEBUG 会瞬间撑爆磁盘。模块化控制可以精准地“只打开一扇窗”。,开启 `enabledModuleLogLevel=true`。将 `logLevel` 维持在 `info`，而将 `moduleLogLevelDatasource` 单独调优为 `debug`。这样可以精准捕获连接池的借还轨迹和慢 SQL 预警，而不会受到 Web 容器等其他模块海量心跳日志的干扰。
Java Logger 接管 (takeoverJUL),开启 `takeoverJUL=true` 对减少多应用并发环境下的 CPU 竞争有何贡献？,Java 默认的 JUL (java.util.logging) 内部存在大量的同步锁竞争。,必须开启 `takeoverJUL=true`。开启后，所有通过 JUL 接口输出的日志都会被 TongWeb 重定向到其高效的异步日志处理管线中。这不仅能通过 `bufferedSize` 减少系统调用，还能消除 JUL 原始 Handler 在高并发下的锁瓶颈，使 CPU 能够更纯粹地服务于业务逻辑。
优雅停机 (gracefulStopAwaitMillis),在云原生频繁扩缩容环境下，如何调优 `gracefulStopAwaitMillis` 以保证正在处理的订单请求不被强行中断？,直接杀进程会导致正在进行中的数据库事务回滚，影响业务。优雅停机允许服务器停止接收新请求，但给存量请求留出退出时间。,在全局配置中设置 `gracefulStopAwaitMillis` 为非零值（推荐 15000ms 到 30000ms）。该参数指定了实例在收到停止信号后等待活跃线程完成的最长时间。超过此阈值仍未结束的线程会被强制释放，并记录 0503 错误，确保系统更新时的业务平滑度。
JSP 输出 NULL 串 (jspPrintNull),如何通过 `jspPrintNull` 参数优化 JSP 页面的视觉表现并微量减少网络带宽消耗？,默认情况下，JSP 遇到对象为 null 会输出字符串 "null"，这不仅不美观，还增加了响应体的长度。,推荐将 `jspPrintNull` 设置为 `false`。调优关闭后，遇到 null 对象时将不输出任何内容。虽然单次减少的字节有限，但在海量列表数据展现场景下，这种“零冗余”配置能累积出明显的网络 IO 节省，并避免因页面出现大量“null”文字导致的售后投诉。
类加载扫描优化 (jarsToSkip),应用启动报 `StackOverflowError` 导致部署失败，如何通过 `jarsToSkip` 进行针对性调优？,TongWeb 在启动时会扫描所有 JAR 包以寻找 Servlet 注解。如果某些包（如 BC 加密包）存在极其复杂的父子循环继承，会导致扫描算法递归过深。,"在全局配置的 `jarsToSkip` 中添加冲突包的模式串，如 `bcprov*.jar,derby*.jar`。通过跳过这些无需容器处理的工具类 JAR 包，不仅能规避扫描引发的 JVM 栈溢出异常，还能缩短应用部署时间 10% 以上。"
并行部署 (useParallel),针对单机部署了 10 个以上重型应用的场景，如何缩短 TongWeb 启动的总就绪时长？,默认部署是串行的，即一个应用加载完再加载下一个。多核 CPU 在此期间利用率极低。,在全局配置中开启 `useParallel=true`。开启并行部署后，TongWeb 会利用 `utilityThreads`（推荐调优为 4-8 之间）指定的并发数同时加载多个应用。这在微服务单机多实例环境下能将整体启动耗时压降 50% 左右。
启动顺序调优 (delayStartConnector),在高负载集群环境下，如何防止 TongWeb 启动瞬间“假死”导致的负载均衡心跳误判？,如果端口先启但应用还没加载完，负载均衡器（如 THS）发来的请求会返回 404 或超时。,推荐将 `delayStartConnector` 设置为 `true`。调优后，TongWeb 会先完成所有 Web 应用的初始化，待一切就绪后再开启监听端口。这样可以确保外界请求进来的第一秒钟，服务器就能提供完整、有效的响应，是集群环境“预热部署”的关键参数。
SQL 拦截器 (customInterceptor),如何在不修改业务源码的情况下，实现全局的数据源访问权限审计？,应用往往是第三方提供的。通过连接池底层的拦截器机制，可以像 AOP 一样切入所有的 SQL 执行点。,开发一个继承自 `AbstractCreateStatementInterceptor` 的类并打成 JAR 包放入 `lib`。在数据源配置的 `customInterceptor` 中填入该类全路径。该调优技术常用于实现生产环境的动态脱敏、SQL 耗时统计或防范特定模式的 SQL 注入攻击。
语句末尾化器 (enableStatementFinalizer),如何解决由于应用未显式关闭 `Statement` 导致的数据库“游标超出上限（ORA-01000）”异常？,虽然关闭 Connection 会关闭相关的 Statement，但有的代码逻辑在一个长连接中循环创建 Statement。,必须开启 `enableStatementFinalizer=true`。调优项建议同步开启 `trace=true`。这不仅能确保在 Connection 关闭时强制回收游标资源，还能通过日志输出未关闭堆栈，指引开发团队定位并修复具体的 SQL 调用链。
轻量模式 (liteMode) 模块屏蔽,开启 `liteMode` 后，TongWeb 究竟具体屏蔽了哪些子系统以换取极致性能？,了解屏蔽清单有助于判断应用是否适合开启该模式。,配置 `liteMode=true` 后，TongWeb 将彻底屏蔽自带的 **validation、JPA、CDI、EJB、mail** 模块。此时系统会尝试从应用自身的 `WEB-INF/lib` 中加载这些技术的私有实现。对于 Spring Boot 打包的 WAR 应用，开启轻量模式可以避免 JNDI 初始化冲突，提升约 20MB 的 Metaspace 内存利用率。
网络监控数据归零 (resetMonitorData),长期运行的 TongWeb 实例，其通道监视项 `bytesSent` 显示异常巨大且失去统计意义，该如何处理？,数值类型存在溢出风险，且累积值无法体现近期的网络负荷波动。,开启 `resetMonitorData=true` 并设置 `resetMonitorDataPeriod`（推荐 3600 秒，即 1 小时）。调优开启后，监控数据会每小时自动归零。这能确保管理员在控制台看到的流量统计始终反映的是当前的、有参考价值的实时动态值。
跨应用 Session 共享 (SharedSessionContext),同一物理机下两个不同的 WAR 应用（A 和 B）如何实现在不引入 Redis 的情况下共享登录状态？,Session 默认受 ContextRoot 隔离。,在启动参数中配置 `-DSharedSessionContext=true`。若要连同 Session 内部的 Attribute 对象也同步共享，需配套配置 `-DSharedSessionEnable=true`。注意：这要求两个应用的 Cookie 路径配置（SessionCookiePath）能够覆盖彼此，通常需统一设置为 `/`。
Session 复制与 TongDataGrid,在大规模 TongWeb 集群中，为何推荐使用 TongDataGrid 替代传统的内存 Session 广播？,传统的广播模式在节点增多时，同步流量会呈指数级增长，占用大量内网带宽。,通过集中管理控制台创建集群并勾选“开启 session 复制”。调优建议：后端挂接 TongDataGrid 服务器。Session 数据会均匀分布在分布式网格中，而不是广播到每个实例。这种架构在节点数超过 4 个后，能显著降低 Web 实例的内存压力和内网延迟。
Prometheus 推送间隔 (interval),接入 Prometheus 监控后，如何配置推送频率以平衡“监控灵敏度”与“CPU 开销”？,推送太快会频繁触发指标计算和网络发送。,在 Prometheus 服务配置中调优 `interval`（推荐 15 秒到 60 秒之间）。若应用对延迟极其敏感，可缩短至 15s；一般业务建议设为 30s。同步需在 `monitor` 中选定指定的“组合监视”ID，避免全量指标扫描带来的计算开销。
SSL 公共密钥强度 (DH key),针对漏洞扫描出的“SSL 服务器瞬时 Diffie-Hellman 公共密钥过弱”问题，应如何调优？,这是因为默认的 DH 密钥长度不足（通常为 1024 位）。,必须在 `external.vmoptions` 中增加启动参数：`-Djdk.tls.ephemeralDHKeySize=2048`。调优重启后，服务器会使用 2048 位的增强型 DH 交换算法，从而满足等保三级及以上安全规范对加密链路强度的要求。
文件打开过多 (lsof),应用并发升高后报 `java.net.SocketException: Too many open files`，除了改 ulimit 还有哪些调优手段？,ulimit 是系统上限。中间件侧也需要通过控制连接数进行前端拦截。,1. 确保 Linux 执行了 `ulimit -n 65535`；2. 将通道的 `maxConnections` 调优为 10000 左右，使其略小于系统句柄上限，防止因句柄被 Web 端口占满导致应用无法打开本地配置文件；3. 开启数据源的 `removeAbandoned` 以回收僵死的 Socket 连接。
启动参数标签规范 (#),为何在编辑 `external.vmoptions` 时，严禁在 `#` 符号后添加多余空格？,该文件是给 TongWeb 启动器（launcher）解析的，其解析逻辑与标准 properties 不同。,TongWeb 的启动参数解析引擎将 `#` 视为功能性标签栏标识（如 `#GLOBAL`）。若在 `#` 后误加空格或特殊符号，解析器将无法识别对应的参数区块，导致 JVM 无法获取正确的内存设置，启动时会弹出报错要求手工输入 java 参数。调优建议：保持文件原始格式，仅在对应标签下方按行增删具体参数。
