参数,名称,参数说明,,,,,,
relaxedQueryChars,通道HTTP属性的未编码字符,URI请求参数中允许使用的未编码的字符。,,,,,,
skipCharsValidate,通道HTTP属性的跳过特殊字符校验,当请求参数中包含了未遵从RFC7230、RFC3986规定的特殊字符时，是否跳过校验，跳过校验后该请求会交给应用处理，否则请求将会被中断。,,,,,,
maxPostSize,通道HTTP属性的最大POST字节,将由容器自动解析的POST的最大字节，“-1”表示不限制。,,,,,,
maxSwallowSize,通道HTTP属性的上传文件溢值,若上传文件大小超过“最大POST字节”并且超过了此溢值，则中断当前的连接（即响应头里会添加“Connection:close”），未超过则不会中断。,,,,,,
parseBodyMethods,通道HTTP属性的以POST方式解析方法,指定一些HTTP方法，在解析正文时将这些方法的请求视为POST请求。可用以支持一些RESTFul PUT无法向后端传递参数的场景。,,,,,,
maxSavePostSize,通道HTTP属性的认证时 POST 缓存,指定 FORM or CLIENT-CERT 认证期间，服务器缓存的 POST 请求的最大字节数（单位：字节）。,,,,,,
useKeepAliveResponseHeader,通道HTTP属性的Keep-Alive 响应头,在使用长连接时，是否在响应头中添加 Keep-Alive。,,,,,,
keepAliveTimeout,通道HTTP属性的长连接超时,长连接建立后，在这个时间内没有新的请求进来，则断开连接。,,,,,,
maxKeepAliveReques,通道HTTP属性的长连接服务阈值,长连接建立后，当其接收的请求数达到此阈值后，则断开连接。,,,,,,
maxTrailerSize,通道HTTP属性的尾部标头总长度,尾部标头的最大大小（以字节为单位），“-1”表示不限制。,,,,,,
addResponseHeader,通道HTTP属性的附加响应头,该功能允许服务器在HTTP响应中附加自定义头部信息。优先级：应用的优先级高于通道，通道优先级高于全局配置。,,,,,,
connectionTimeout,通道TCP属性的连接超时时间,读写网络的连接超时时间，单位：毫秒。,,,,,,
tcpNoDelay,通道TCP属性的开启 TCP_NO_DELAY,设置网络连接的 TCP_NO_DELAY 属性。,,,,,,
acceptCount,通道TCP属性的等待队列大小,连接等待队列的长度，是操作系统 Socket 连接的配置参数；当处理请求的线程数不够用时，请求被放到等待队列中，等待队列满后的请求将被拒绝。,,,,,,
maxConnections,通道TCP属性的最大连接数,TongWeb 能够同时接受和处理的最大连接数。,,,,,,
enableLookups,通道TCP属性的允许 DNS 反向查找,开启后，调用 request.getRemoteHost() 会进行 DNS 查询得到远程客户端的实际主机名；不开启，则得到 IP 地址。,,,,,,
compression,通道压缩的压缩级别,压缩级别，on：表示开启，off：表示关闭，force：表示任何情况都开启。,,,,,,
compressionMinSize,通道压缩的压缩阈值,压缩所需的最小内容长度，以字节为单位，以触发压缩。,,,,,,
noCompressionUserAgents,通道压缩的免压缩客户端,"不应用压缩的客户端代理字符串的正则表达式,如“.*.Safari.*.*,*Firefox.*”。",,,,,,
compressibleMimeType,通道压缩的可压缩类型,"指定需要压缩的 MIME-TYPE 列表,多个类型以英文逗号分隔。",,,,,,
ignoreHeader,通道压缩的强制压缩,"当请求头中未指定压缩算法时,开启此强制压缩,可对资源进行压缩处理。适用于动态资源需要压缩的场景。",,,,,,
secure,通道安全的Cookie Secure,设置Cookie的Secure属性，打开后设置为“true”，关闭则设置为“false”。当设置为“true”时，只有在HTTPS协议下浏览器才可以传递此Cookie，HTTP协议则不传递。注：此连接器开启SSL后，本项设置自动为“true”，不可更改。,,,,,,
SSLEnabled,通道安全的开启SSL,开启后，使用SSL/TLS加密网络数据，访问协议将变为HTTPS。注：若要使用HTTP/2.0协议，则需首先开启SSL。,,,,,,
httpRedirect,通道安全的HTTP重定向,开启后，如果使用HTTP访问则重定向至HTTPS。,,,,,,
http2Enabled,通道安全的支持HTTP/2,是否支持HTTP 2.0协议。,,,,,,
gmEnabled,通道安全的国密认证,开启国密SSL加密认证，开启后，此通道将支持使用国密算法SM2、SM3、SM4进行SSL加密通信。,,,,,,
sslEnabledProtocols,通道安全的启用协议,指定启用的SSL/TLS协议，不指定将根据运行环境自动配置。考虑安全问题，不建议启用SSLv3和SSLv2Hello。,,,,,,
ciphers,通道安全的启用密码套件,密码套件决定了SSL/TLS通信过程中使用的加密算法，可根据不同的业务需求设置使用不同的加密算法，以英文逗号分隔可设置等多个。注：不设置表示不限制。,,,,,,
useServerCipherSuit esOrder,通道安全的使用服务端密码顺序,启用后会强制使用服务器端的的密码顺序，而不是允许客户端来选择。,,,,,,
refKeyStore,通道安全的服务器证书,选择已导入服务器的SSL证书。,,,,,,
keystoreFile,通道安全的服务器证书路径,"存放服务器证书 keystore 文件的路径。证书支持的类型: JKS, PKCS11 或 PKCS12。",,,,,,
keystorePass,通道安全的服务器证书密码,指定 keystore 证书的密码。,,,,,,
clientAuth,通道安全的客户端认证,"true: 必须有客户端证书才可以访问; false: 不验证是否有客户端证书; want: 会检查客户端证书,若没有也可以继续访问。",,,,,,
trustManagerClassName,通道安全的自定义信任管理器,"用于验证客户端证书的自定义信任管理器类的名称。该类必须有一个零参数构造函数,并且还必须实现 javax.net.css.X509TrustManager 接口。设置此属性,并且是可用的,则可能忽略信任证书相关设置。",,,,,,
refTrustStore,通道安全的信任证书,选择已导入服务器的 SSL 信任证书。,,,,,,
truststoreFile,通道安全的信任证书路径,"存放服务器证书 truststore 文件的路径。证书支持的类型: JKS, PKCS11 或 PKCS12。",,,,,,
truststorePass,通道安全的信任证书密码,指定 truststore 证书的密码。,,,,,,
refGmEnc,通道安全的加密证书,选择已导入服务器的加密证书。,,,,,,
gmEncFile,通道安全的加密证书路径,加密证书路径。,,,,,,
gmEncPass,通道安全的加密证书密码,加密证书密码。,,,,,,
refGmSign,通道安全的签名证书,选择已导入服务器的签名证书。,,,,,,
gmSignFile,通道安全的签名证书路径,签名证书路径。,,,,,,
gmSignPass,通道安全的签名证书密码,签名证书密码。,,,,,,
enableKAE,通道安全的KAE 加速,设置是否使用 KAE 加速引擎。,,,,,,
sendFileSize,通道的Send File 阈值,"当通道启用 Send File 功能时,大于此阈值的文件将通过 Send File 的方式发送到客户端,单位为 KB。",,,,,,
asyncTimeout,通道的异步请求的默认超时,"当使用异步 Servlet 时,设置异步处理机制(AsyncContext)的默认超时时间,单位是毫秒。该参数可以被应用主动调用 AsyncContext 的setTimeout(long timeout) 方法所覆盖。",,,,,,
URIEncoding,通道的URI 编码,使用指定的编码解析 URI中的参数。,,,,,,
useBodyEncodingFo rURI,通道的URI 使用 Content-Type 解码,"开启后,URI 中的参数可以使用 Content-Type 中指定的编码。",,,,,,
xpoweredBy,通道的开启 X-Powered-By,"开启 X-Powered-By 后,响应头会添加和服务器有关的信息。",,,,,,
enableProxyServerC onfiguration,通道的开启代理服务器配置,"开启后,可以配置代理服务器的名称和端口。",,,,,,
proxyName,通道的代理服务器的名称,"指定代理服务器名称,调用 request.getServerName(   ) 将返回该值给应用。",,,,,,
proxyPort,通道的代理服务器端口,"指定代理服务器端口,调用 request.getServerPort(   ) 将返回该值给应用。",,,,,,
useNetworkMonitor,通道的启用网络数据监控,"开启后将监视此通道的当前连接数、请求处理总数、错误请求处理总数、请求处理总时间、接收的字节数、发送的字节数等信息,这可能会有些许的性能消耗。",,,,,,
slowTime,通道的慢请求阈值,"单次请求被判断为慢速请求的处理时间阈值(单位: 秒),超过阈值则记录慢请求次数,设置为 0 表示不监视慢请求数量。",,,,,,
resetMonitorData,通道的归零网络监控数据,设置是否需要在指定的周期时间内清理累积的监控数据。,,,,,,
resetMonitorDataPer i od,通道的归零周期,累积的监控数据超过此周期(单位: 秒)后进行自动归零。,,,,,,
,,,,,,,,
